RUNNUM      ETDCUM      EVSCCUM     TRCCUM      WRR14       WSO         WAGT        PARCUM      TS          TMAXC       TMINC       TAVERC      EMD         DAE        
     1       389.66      121.52      353.10      9634.8      9151.4      16688.      591.00      1932.4      3260.1      2431.0      2845.5      4.0000      109.00    
     2       404.03      117.42      373.61      9920.8      9544.6      17751.      631.94      1935.6      3348.7      2425.6      2887.1      4.0000      110.00    
     3       438.67      117.99      418.28      10784.      10340.      19184.      723.67      1941.0      3290.7      2449.3      2870.0      4.0000      111.00    
