RUNNUM      ETDCUM      EVSCCUM     TRCCUM      WRR14       WSO         WAGT        PARCUM      TS          TMAXC       TMINC       TAVERC      EMD         DAE        
     1       515.05      172.61      451.14      11447.      11262.      19910.      757.48      2245.2      4097.2      2958.4      3527.8      111.00      138.00    
     2       491.79      166.01      436.44      11417.      11085.      20138.      731.97      2268.5      4094.7      2937.7      3516.2      111.00      142.00    
     3          0.00000     0.00000     0.00000     0.00000     0.00000  24.400      3.5800      43.570      124.70      90.300      107.50      111.00      8.0000    
