RUNNUM      ETDCUM      EVSCCUM     TRCCUM      WRR14       WSO         WAGT        PARCUM      TS          TMAXC       TMINC       TAVERC      EMD         DAE        
     1       380.29      142.82      344.07      4712.8      4737.1      10279.      370.37      1800.3      2967.0      2273.0      2620.0      59.000      96.000    
     2       427.81      163.75      380.54      5042.2      4972.3      10577.      416.50      1828.5      3253.5      2432.5      2843.0      59.000      99.000    
     3       428.00      154.78      390.20      4907.4      4899.0      10913.      424.69      1823.5      3247.3      2398.0      2822.6      59.000      99.000    
